cat,item,cue,color,presented,corrAns
QUE,NIQUE,R,green,old,1
QUE,PLIQUE,R,green,old,1
QUE,FLIQUE,R,green,old,1
QUE,FRIQUE,R,green,old,1
QUE,SHIQUE,R,green,old,1
QUE,ZIQUE,R,green,old,1
QUE,JIQUE,R,green,new,2
QUE,WIQUE,R,green,new,2
QUE,BRIQUE,R,green,new,2
ION,PLATION,R,green,old,1
ION,GATION,R,green,old,1
ION,SNATION,R,green,old,1
ION,FRATION,R,green,old,1
ION,KATION,R,green,old,1
ION,GRATION,R,green,old,1
ION,BRATION,R,green,new,2
ION,KRATION,R,green,new,2
ION,JATION,R,green,new,2
AZY,ZAZY,R,green,old,1
AZY,KAZY,R,green,old,1
AZY,PAZY,R,green,old,1
AZY,GRAZY,R,green,old,1
AZY,PLAZY,R,green,old,1
AZY,PRAZY,R,green,old,1
AZY,BAZY,R,green,new,2
AZY,WAZY,R,green,new,2
AZY,FRAZY,R,green,new,2
USS,CLUSS,R,green,old,1
USS,GRUSS,R,green,old,1
USS,KUSS,R,green,old,1
USS,PRUSS,R,green,old,1
USS,ZUSS,R,green,old,1
USS,DRUSS,R,green,old,1
USS,NUSS,R,green,new,2
USS,KRUSS,R,green,new,2
USS,FLUSS,R,green,new,2
TOP,CRATOP,R,green,old,1
TOP,FRATOP,R,green,old,1
TOP,DATOP,R,green,old,1
TOP,TRATOP,R,green,old,1
TOP,SNATOP,R,green,old,1
TOP,DRATOP,R,green,old,1
TOP,VATOP,R,green,new,2
TOP,SATOP,R,green,new,2
TOP,TATOP,R,green,new,2
ORD,ZORD,R,green,old,1
ORD,FLORD,R,green,old,1
ORD,KORD,R,green,old,1
ORD,DORD,R,green,old,1
ORD,TRORD,R,green,old,1
ORD,JORD,R,green,old,1
ORD,MORD,R,green,new,2
ORD,PLORD,R,green,new,2
ORD,CRORD,R,green,new,2
GLE,CREAGLE,F,red,old,1
GLE,FLEAGLE,F,red,old,1
GLE,ZEAGLE,F,red,old,1
GLE,KLEAGLE,F,red,old,1
GLE,SWEAGLE,F,red,old,1
GLE,TREAGLE,F,red,old,1
GLE,PLEAGLE,F,red,new,2
GLE,GREAGLE,F,red,new,2
GLE,PREAGLE,F,red,new,2
MME,ZUMME,F,red,old,1
MME,PUMME,F,red,old,1
MME,WUMME,F,red,old,1
MME,KLUMME,F,red,old,1
MME,TRUMME,F,red,old,1
MME,GRUMME,F,red,old,1
MME,DUMME,F,red,new,2
MME,KRUMME,F,red,new,2
MME,SWUMME,F,red,new,2
LOR,PROLOR,F,red,old,1
LOR,FROLOR,F,red,old,1
LOR,TOLOR,F,red,old,1
LOR,DROLOR,F,red,old,1
LOR,JOLOR,F,red,old,1
LOR,SWOLOR,F,red,old,1
LOR,GROLOR,F,red,new,2
LOR,PHOLOR,F,red,new,2
LOR,CROLOR,F,red,new,2
EDI,PLEDI,F,red,old,1
EDI,PHEDI,F,red,old,1
EDI,KLEDI,F,red,old,1
EDI,SHEDI,F,red,old,1
EDI,KEDI,F,red,old,1
EDI,BREDI,F,red,old,1
EDI,HEDI,F,red,new,2
EDI,TEDI,F,red,new,2
EDI,NEDI,F,red,new,2
FFY,GRIFFY,F,red,old,1
FFY,BLIFFY,F,red,old,1
FFY,ZIFFY,F,red,old,1
FFY,VIFFY,F,red,old,1
FFY,TIFFY,F,red,old,1
FFY,PRIFFY,F,red,old,1
FFY,SIFFY,F,red,new,2
FFY,TRIFFY,F,red,new,2
FFY,FRIFFY,F,red,new,2
PTE,SAPTE,F,red,old,1
PTE,BAPTE,F,red,old,1
PTE,BLAPTE,F,red,old,1
PTE,FLAPTE,F,red,old,1
PTE,SWAPTE,F,red,old,1
PTE,VAPTE,F,red,old,1
PTE,HAPTE,F,red,new,2
PTE,PRAPTE,F,red,new,2
PTE,DAPTE,F,red,new,2
DER,FRENDER,New,None,new,2
DER,TRENDER,New,None,new,2
DER,NENDER,New,None,new,2
KTO,JESKTO,New,None,new,2
KTO,PLESKTO,New,None,new,2
KTO,MESKTO,New,None,new,2
TER,CRUTER,New,None,new,2
TER,SNUTER,New,None,new,2
TER,KLUTER,New,None,new,2
GIN,MIGIN,New,None,new,2
GIN,TRIGIN,New,None,new,2
GIN,PRIGIN,New,None,new,2
LKY,PLALKY,New,None,new,2
LKY,GALKY,New,None,new,2
LKY,PHALKY,New,None,new,2
OOM,FLOOM,New,None,new,2
OOM,KLOOM,New,None,new,2
OOM,KROOM,New,None,new,2
VAL,PHUVAL,New,None,new,2
VAL,KRUVAL,New,None,new,2
VAL,SWUVAL,New,None,new,2
ECK,FRECK,New,None,new,2
ECK,BRECK,New,None,new,2
ECK,CRECK,New,None,new,2
ISE,TAISE,New,None,new,2
ISE,KLAISE,New,None,new,2
ISE,ZAISE,New,None,new,2
TIC,WENTIC,New,None,new,2
TIC,TENTIC,New,None,new,2
TIC,FLENTIC,New,None,new,2
IME,DRIME,New,None,new,2
IME,FRIME,New,None,new,2
IME,SWIME,New,None,new,2
WEN,KROWEN,New,None,new,2
WEN,GROWEN,New,None,new,2
WEN,FROWEN,New,None,new,2
